Parameters tuning log for the hybrid recommender of predictions (second version). 
This are the recommenders that have been put inside: ['ItemKNNCFRecommender', 'SLIMElasticNetRecommender', 'ItemKNNCBFRecommender', 'RP3betaRecommender', 'UserKNNCFRecommender', 'SLIM_BPR_Recommender']
Iteration 225. Result MAP=0.043860  Configuration tried: [1, 0.8, 0.3, 0.6, 0.2, 0.3].
Iteration 226. Result MAP=0.043243  Configuration tried: [1, 0.9, 0.3, 0.7, 0.4, 0.6].
Iteration 227. Result MAP=0.044090  Configuration tried: [0.9, 0.6, 0.5, 0.8, 0.05, 0.3].
Iteration 228. Result MAP=0.043296  Configuration tried: [0.6, 1, 0.4, 0.8, 0.05, 0.7].
Iteration 229. Result MAP=0.043298  Configuration tried: [1, 0.5, 0.4, 1, 0.3, 0.6].
Iteration 230. Result MAP=0.043469  Configuration tried: [0.8, 0.9, 0.2, 0.5, 0.05, 0.7].
Iteration 231. Result MAP=0.043802  Configuration tried: [0.9, 0.6, 0.1, 0.5, 0.15, 0.4].
Iteration 232. Result MAP=0.043012  Configuration tried: [0.9, 0.5, 0.2, 0.8, 0.3, 0.3].
Iteration 233. Result MAP=0.043961  Configuration tried: [0.5, 0.5, 0.5, 0.7, 0.15, 0.3].
Iteration 234. Result MAP=0.044153  Configuration tried: [0.9, 0.5, 0.3, 0.7, 0.05, 0.6].
Iteration 235. Result MAP=0.043983  Configuration tried: [1, 0.7, 0.5, 1, 0.2, 0.6].
